Galaksi,Tip_T,Tip_ad,Sinif,N_nokta,Q,Inc_deg,D_Mpc,Vflat_kms
UGC11820,9,Sm,05_macellan,10,1,45.0,18.10,0.0
UGC12632,9,Sm,05_macellan,15,1,46.0,9.77,71.7
UGC12732,9,Sm,05_macellan,16,1,39.0,13.20,0.0
UGCA442,9,Sm,05_macellan,8,1,64.0,4.35,56.4
CamB,10,Im,06_duzensiz,9,2,65.0,3.36,0.0
D564-8,10,Im,06_duzensiz,6,2,63.0,8.79,0.0
D631-7,10,Im,06_duzensiz,16,1,59.0,7.72,57.7
DDO064,10,Im,06_duzensiz,14,1,60.0,6.80,46.1
DDO154,10,Im,06_duzensiz,12,2,64.0,4.04,47.0
DDO161,10,Im,06_duzensiz,31,1,70.0,7.50,66.3
DDO168,10,Im,06_duzensiz,10,2,63.0,4.25,53.4
DDO170,10,Im,06_duzensiz,8,2,66.0,15.40,60.0
ESO444-G084,10,Im,06_duzensiz,7,2,32.0,4.83,0.0
F565-V2,10,Im,06_duzensiz,7,2,60.0,51.80,0.0
KK98-251,10,Im,06_duzensiz,15,2,59.0,6.80,33.7
NGC3741,10,Im,06_duzensiz,21,1,70.0,3.21,50.1
NGC4068,10,Im,06_duzensiz,6,2,44.0,4.37,0.0
UGC00731,10,Im,06_duzensiz,12,1,57.0,12.50,73.3
UGC04483,10,Im,06_duzensiz,8,2,58.0,3.34,0.0
UGC05005,10,Im,06_duzensiz,11,1,41.0,53.70,98.9
UGC05414,10,Im,06_duzensiz,6,1,55.0,9.40,0.0
UGC05764,10,Im,06_duzensiz,10,2,60.0,7.47,0.0
UGC05829,10,Im,06_duzensiz,11,2,34.0,8.64,0.0
UGC05918,10,Im,06_duzensiz,8,2,46.0,7.66,0.0
UGC06923,10,Im,06_duzensiz,6,2,65.0,18.00,79.6
UGC07559,10,Im,06_duzensiz,7,2,61.0,4.97,0.0
UGC07577,10,Im,06_duzensiz,9,2,63.0,2.59,0.0
UGC07690,10,Im,06_duzensiz,7,2,41.0,8.11,57.4
UGC07866,10,Im,06_duzensiz,7,2,44.0,4.57,0.0
UGC08837,10,Im,06_duzensiz,8,2,80.0,7.21,0.0
D512-2,10,Im,99_KARMASIK,4,2,56.0,15.2,0.0
F561-1,9,Sm,99_KARMASIK,6,3,24.0,66.4,50.0
F563-1,9,Sm,99_KARMASIK,17,1,25.0,48.9,109.9
F563-V1,10,Im,99_KARMASIK,6,3,60.0,54.0,0.0
F563-V2,10,Im,99_KARMASIK,10,1,29.0,59.7,116.6
F567-2,9,Sm,99_KARMASIK,5,3,20.0,79.0,0.0
F568-1,5,Sc,99_KARMASIK,12,1,26.0,90.7,0.0
F574-2,9,Sm,99_KARMASIK,5,3,30.0,89.1,0.0
F579-V1,5,Sc,99_KARMASIK,14,1,26.0,89.5,112.1
NGC1705,11,BCD,99_KARMASIK,14,3,80.0,5.73,71.9
NGC2366,10,Im,99_KARMASIK,26,3,68.0,3.27,50.2
NGC2915,11,BCD,99_KARMASIK,30,2,56.0,4.06,83.5
NGC4138,0,S0,99_KARMASIK,7,2,53.0,18.0,147.3
NGC4214,10,Im,99_KARMASIK,14,2,15.0,2.87,80.1
NGC4389,4,Sbc,99_KARMASIK,6,3,50.0,18.0,0.0
NGC6789,11,BCD,99_KARMASIK,4,2,43.0,3.52,0.0
PGC51017,11,BCD,99_KARMASIK,6,3,66.0,13.6,18.6
UGC00634,9,Sm,99_KARMASIK,4,2,37.0,30.9,0.0
UGC00891,9,Sm,99_KARMASIK,5,2,60.0,10.2,0.0
UGC01230,9,Sm,99_KARMASIK,11,1,22.0,53.7,103.7
UGC02023,10,Im,99_KARMASIK,5,2,19.0,10.4,0.0
UGC02455,10,Im,99_KARMASIK,8,3,51.0,6.92,0.0
UGC02487,0,S0,99_KARMASIK,17,1,36.0,69.1,332.0
UGC04305,10,Im,99_KARMASIK,22,3,40.0,3.45,34.5
UGC05999,10,Im,99_KARMASIK,5,2,22.0,47.7,0.0
UGC06628,9,Sm,99_KARMASIK,7,2,20.0,15.1,41.8
UGC06786,0,S0,99_KARMASIK,45,1,64.0,29.3,219.4
UGC06973,2,Sab,99_KARMASIK,9,3,71.0,18.0,174.2
UGC07232,10,Im,99_KARMASIK,4,2,59.0,2.83,0.0
UGC07608,10,Im,99_KARMASIK,8,1,25.0,8.21,0.0
UGC09992,10,Im,99_KARMASIK,5,2,30.0,10.7,33.6
UGCA281,11,BCD,99_KARMASIK,7,3,67.0,5.68,0.0
