full_name,diameter,rot_per,albedo,class,H,GM
 27530 Daveshuck (2000 HC66),8.836,224.791,0.062,MBA,13.99,
 27537 Dianaweintraub (2000 HZ83),12.165,100.893,0.059,MBA,13.33,
 27543 (2000 JC13),11.746,55.0505,0.046,MBA,13.70,
 27545 (2000 JX16),5.483,11.43,0.338,MBA,13.37,
 27550 (2000 JC24),10.362,7.696,0.047,MBA,13.83,
 27552 (2000 JZ32),9.343,19.2835,0.191,MBA,12.90,
 27557 (2000 JP55),11.356,15.144,0.095,OMB,13.21,
 27563 Staceychristen (2000 KD60),5.275,36.4182,0.192,MBA,14.11,
 27564 Astreichelt (2000 KE77),3.395,2.932,0.351,MBA,14.36,
 27568 (2000 PT6),1.816,3.4885,0.931,IMB,14.79,
 27569 (2000 QW122),9.605,37.5508,0.058,MBA,14.13,
 27579 (2000 TA29),5.108,11.3,0.295,MBA,13.65,
 27581 (2000 UR26),6.514,5.1355,0.105,MBA,14.53,
 27582 Jackieterrel (2000 UJ50),3.091,4.12,0.203,MBA,15.16,
 27586 (2000 XH34),3.736,35.0741,0.241,MBA,14.59,
 27587 (2000 XG39),4.645,46.278,0.430,MBA,14.31,
 27594 (2001 CZ19),3.685,30.604,0.298,MBA,14.41,
 27605 (2001 HN9),6.218,16.4988,0.240,MBA,13.71,
 27618 Ceilierin (2001 KL55),2.675,6.401,0.142,MBA,15.79,
 27621 (2001 KF67),9.978,290.278,0.269,MBA,12.57,
 27622 Richardbaker (2001 KS71),2.250,6.39473,0.265,MBA,15.66,
 27658 Dmitrijbagalej (1978 RV),8.919,27.4035,0.061,MBA,13.84,
 27664 (1978 VX5),3.308,164.729,0.280,MBA,15.30,
 27666 (1978 VU6),2.196,4.849,0.366,MBA,15.35,
 27667 (1979 KJ),7.824,3.15794,0.263,MBA,12.95,
 27669 (1979 MQ4),7.393,84.693,0.202,MBA,13.21,
 27675 Paulmaley (1981 CH),5.089,2.9661,0.238,MBA,13.59,
 27697 (1981 EM45),3.034,6.89,0.231,MBA,14.99,
 27700 (1982 SW3),2.931,9.997,0.405,MBA,14.48,
 27703 (1984 SA2),5.364,9.568,0.202,MBA,14.31,
 27709 Orenburg (1988 CU3),8.087,4.93712,0.205,MBA,13.20,
 27720 (1989 UP3),2.839,7.598,0.458,MBA,14.57,
 27722 (1990 OB2),7.146,14.85,0.162,MBA,13.57,
 27725 (1990 QF4),5.300,41.016,0.208,MBA,13.57,
 27738 (1990 TT4),14.529,26.4684,0.048,MBA,13.34,
 27743 (1990 VM),13.768,6.09987,0.071,MBA,13.08,
 27747 (1990 YW),9.554,15.2096,0.122,MBA,13.50,
 27753 (1991 PF5),2.719,4.025,0.379,MBA,14.94,
 27766 (1991 TO),2.193,49.4584,0.278,MBA,15.87,
 27771 (1991 VY2),4.018,1.15,0.275,MBA,14.38,
 27778 (1992 DF6),4.494,4.27,0.200,MBA,14.50,
 27785 (1992 OE3),5.742,9.232,0.068,MBA,14.97,
 27789 Astrakhan (1993 BB7),9.355,2.609,0.199,MBA,12.77,
 27797 (1993 FQ17),2.218,5.60246,0.359,MBA,15.50,
 27802 (1993 FY30),7.807,8.581,0.241,MBA,13.16,
 27808 (1993 FT56),2.716,59.337,0.316,MBA,15.11,
 27811 (1993 OA7),7.214,13.05,0.063,MBA,14.72,
 27821 (1993 TU34),8.118,3.78,0.061,OMB,14.37,
 27834 (1994 PW13),3.038,4.25,0.400,MBA,14.89,
 27835 (1994 PZ13),6.856,88.947,0.136,MBA,13.41,
 27844 Fumitake (1994 TG1),3.851,2.68004,0.273,MBA,14.69,
 27848 (1994 UZ),2.535,7.74,0.362,MBA,15.28,
 27851 (1994 VG2),9.552,7.733,0.070,MBA,14.04,
 27856 (1995 AX3),3.052,3.0287,0.250,MBA,15.01,
 27860 (1995 BV2),5.231,3.918,0.339,MBA,13.73,
 27861 Sudachikako (1995 BL4),5.732,28.273,0.257,MBA,13.47,
 27867 (1995 KF4),7.082,418.94,0.222,MBA,13.30,
 27880 (1996 EQ),2.205,4.998,0.398,MBA,15.34,
 27893 (1996 HK25),3.788,45.8946,0.309,MBA,14.38,
 27900 Cecconi (1996 RM),9.480,5.64085,0.059,MBA,14.21,
 27903 (1996 RS11),5.211,4.056373,0.284,MBA,13.80,
 27911 (1996 TC14),12.226,4.04309,0.157,MBA,12.44,
 27913 (1996 TC41),5.974,4.113,0.145,MBA,13.91,
 27920 Noguchiujo (1996 VV8),16.445,54.3615,0.086,MBA,12.81,
 27921 (1996 VY26),8.727,18.703,0.064,MBA,13.91,
 27922 Mascheroni (1996 XW8),9.997,1110.58,0.121,MBA,13.08,
 27935 (1997 JN),2.012,3.19917,0.302,MBA,15.68,
 27938 Guislain (1997 JG16),9.334,27.3868,0.081,MBA,13.94,
 27958 Giussano (1997 RP9),2.703,7.43,0.319,MBA,15.16,
 27965 (1997 SH25),2.614,5.629,0.341,MBA,14.87,
 27972 (1997 TA18),5.780,3.9415,0.101,MBA,14.60,
 27984 Herminefranz (1997 VN),3.131,7.69,0.079,MBA,15.81,
 27990 (1997 VD6),9.389,40.48,0.152,MBA,13.20,
 27995 (1997 WL2),2.056,9.229,0.381,MCA,15.21,
 28002 (1997 WO51),9.332,138.164,0.074,MBA,13.81,
 28003 (1997 WT52),7.761,3.69,0.244,MBA,13.28,
 28010 (1997 YE3),6.351,162.321,0.174,MBA,13.65,
 28016 (1997 YV11),16.921,157.562,0.089,MBA,12.66,
 28017 (1997 YV13),6.020,47,0.212,MCA,13.75,
 28021 (1998 BP6),9.707,9.00039,0.082,MBA,13.71,
 28023 (1998 BF11),5.861,738.466,0.205,MBA,13.93,
 28030 (1998 DW12),8.390,3.19648,0.063,MBA,14.24,
 28040 (1998 FF80),7.536,20.2262,0.071,OMB,14.14,
 28044 (1998 FD116),3.634,5.992,0.368,MBA,14.24,
 28059 Kiliaan (1998 OZ7),8.552,3.4382,0.183,MBA,13.13,
 28063 (1998 OR14),3.695,7.01,0.250,MBA,14.44,
 28067 (1998 QA14),5.409,3.746,0.263,MBA,13.73,
 28071 (1998 QC26),4.745,10.031,0.124,MBA,14.83,
 28073 Fohner (1998 QT40),3.679,218.986,0.273,MBA,14.37,
 28100 (1998 RG69),4.338,5.43391,0.258,MBA,14.24,
 28103 Benmcpheron (1998 RK80),2.354,5.05,0.291,MBA,15.48,
 28119 (1998 SX71),2.447,24.,0.323,MBA,15.27,
 28122 (1998 SJ74),5.614,7.92,0.074,MBA,15.15,
 28126 Nydegger (1998 SF109),3.129,3.783,0.217,MBA,15.44,
 28130 Troemper (1998 SK124),2.456,74.869,0.352,MBA,15.21,
 28133 Kylebardwell (1998 SS130),3.358,5.46284,0.309,MBA,14.79,
 28139 (1998 SN141),5.462,3.88888,0.196,MBA,14.04,
 28146 Nackard (1998 TC32),4.741,11.049,0.125,MBA,14.49,
 28147 Colbath (1998 TD32),3.842,7.504,0.173,MBA,14.84,
 28159 Giuricich (1998 VM7),2.414,46.6908,0.364,MBA,15.33,
 28186 (1998 WK18),2.578,9.656,0.242,MBA,15.24,
 28192 (1998 WE24),9.258,34.293,0.130,MBA,13.08,
 28198 (1998 XU16),5.674,14.8378,0.346,MBA,13.40,
 28210 Howardfeng (1998 XF63),2.203,401.68,0.230,MBA,15.70,
 28211 (1998 XJ64),2.882,2.59999,0.369,MBA,15.05,
 28225 (1999 AS),4.140,3.06482,0.284,MBA,14.33,
 28234 (1999 AB8),11.002,95.7041,0.060,MBA,13.68,
 28240 (1999 AP21),6.618,19.2633,0.077,MBA,14.74,
 28243 (1999 AA23),3.103,9.91174,0.244,MBA,14.77,
 28244 (1999 AL31),3.478,3.942,0.211,MBA,14.96,
 28267 (1999 CH10),8.815,3.47,0.062,MBA,14.22,
 28277 Chengherngyi (1999 CN27),2.881,17.2791,0.406,MBA,14.72,
 28281 (1999 CT29),10.148,19.5275,0.167,MBA,12.60,
 28291 (1999 CX52),5.744,9.474,0.308,MBA,13.34,
 28292 (1999 CX54),7.406,6.4752,0.244,MBA,12.74,
 28294 (1999 CS59),9.996,179.783,0.099,MBA,13.60,
 28296 (1999 CQ63),5.201,16.4808,0.124,MBA,14.42,
 28299 Kanghaoyan (1999 CH66),3.734,4.41582,0.290,MBA,14.51,
 28324 Davidcampeau (1999 CN114),3.325,10.77855,0.228,MBA,14.88,
 28328 (1999 CN125),9.247,4.345279,0.068,MBA,13.99,
 28333 (1999 DW1),6.283,31.1415,0.178,MBA,13.86,
 28334 (1999 DJ2),6.259,440.978,0.216,MBA,13.69,
 28336 (1999 DZ4),12.761,23.1497,0.044,MBA,13.63,
 28343 Florcalandra (1999 FG9),9.342,10.00444,0.222,MBA,12.44,
 28347 (1999 FD22),7.926,24.2936,0.195,MBA,13.41,
 28352 (1999 FF31),10.520,14.3141,0.175,MBA,12.71,
 28353 Chrisnielsen (1999 FH32),3.254,3.499,0.349,MBA,14.47,
 28354 (1999 FV33),11.011,4.618,0.076,OMB,13.56,
 28358 (1999 FW48),10.353,6.018,0.086,MBA,13.48,
 28370 (1999 GK34),7.615,3.22169,0.133,MBA,13.57,
 28371 (1999 GG39),9.884,4.056,0.137,MBA,13.19,
 28373 (1999 HL3),16.766,3.80382,0.076,MBA,12.53,
 28378 (1999 JN24),8.833,4.89224,0.143,MBA,13.27,
 28385 (1999 JX76),19.366,18.7509,0.057,OMB,12.56,
 28387 (1999 JE79),14.489,3.595,0.084,MBA,12.95,
 28388 (1999 JM86),8.499,35.483,0.223,MBA,12.97,
 28395 (1999 RZ42),7.118,5.237,0.127,MBA,14.13,
 28396 Eymann (1999 RY44),1.902,12.548,0.370,MBA,15.54,
 28397 Forrestbetton (1999 RK53),2.013,5.68349,0.398,MBA,15.07,
 28399 (1999 RY136),5.304,10.802,0.228,MBA,14.05,
 28403 (1999 TY),5.688,154.092,0.137,MBA,14.09,
 28406 (1999 TB100),11.390,126.207,0.057,MBA,13.76,
 28409 (1999 TQ226),5.347,4.26,0.075,MBA,15.36,
 28417 Leewei (1999 VA50),6.595,32.503,0.092,MBA,14.50,
 28420 (1999 VC78),4.310,3.092,0.262,MBA,14.17,
 28422 (1999 VA154),3.852,4.733,0.249,MBA,14.27,
 28431 (1999 XO136),2.001,15.016,0.767,MBA,14.73,
 28434 (1999 XL176),8.193,27.,0.043,MBA,14.51,
 28463 (2000 AG168),1.934,48.139,0.327,MBA,15.52,
 28465 Janesmyth (2000 AQ237),3.331,2.676,0.365,MBA,14.34,
 28467 Maurentejamie (2000 AA244),2.446,6.73991,0.355,MBA,15.25,
 28468 Shichangxu (2000 AG246),4.602,4.595,0.332,MBA,13.90,
 28469 (2000 BU8),8.321,54.0638,0.161,MBA,13.41,
 28472 (2000 BE14),4.563,28.6899,0.162,MBA,14.48,
 28473 (2000 BF15),6.397,17.3517,0.157,MBA,13.92,
 28480 Seojinyoung (2000 CL26),3.235,6.865,0.140,MBA,15.17,
 28482 Bauerle (2000 CK29),5.472,5.31,0.071,MBA,15.09,
 28489 (2000 CN58),16.511,11.664,0.071,MBA,12.76,
 28491 (2000 CC59),8.482,3.212,0.089,MBA,14.15,
 28492 Marik (2000 CM59),3.027,3.03272,0.335,MBA,14.83,
 28498 (2000 CL70),6.287,109.276,0.123,MBA,14.45,
 28519 Sweetman (2000 DP15),3.430,44.961,0.286,MBA,14.57,
 28523 (2000 DH50),8.471,5.19,0.043,OMB,14.59,
 28529 (2000 DQ70),6.119,30.749,0.188,MBA,13.84,
 28531 Nikbogdanov (2000 DW71),4.586,7.62,0.064,MBA,15.25,
 28552 (2000 EY38),8.508,263.244,0.086,MBA,14.04,
 28553 Bhupatiraju (2000 ED39),1.940,3.28,0.391,MBA,15.69,
 28560 (2000 EO48),4.600,603.702,0.252,MBA,14.12,
 28561 (2000 EP48),8.569,44.647,0.060,MBA,14.31,
 28575 McQuaid (2000 ES95),4.460,14.2444,0.039,MBA,15.92,
 28590 Kyledilger (2000 EX126),2.584,6.253,0.382,MBA,15.03,
 28594 Ronaldballouz (2000 EF134),10.788,30.2062,0.061,MBA,13.73,
 28595 (2000 EP136),5.975,10,0.237,MBA,13.73,
 28610 Stephenriggs (2000 EM158),14.207,3.288,0.071,MBA,12.90,
 28619 (2000 FP24),12.051,17.872,0.053,OMB,13.84,
 28620 Anicia (2000 FE26),8.089,172.326,0.062,MBA,14.56,
 28650 (2000 GE8),7.492,9.625,0.165,MBA,13.48,
 28656 Doreencurtin (2000 GH28),2.958,3.771,0.243,MBA,15.17,
 28675 Suejohnston (2000 GB60),7.014,7.174,0.062,MBA,14.59,
 28678 Lindquester (2000 GN67),3.799,2.516,0.233,MBA,14.63,
 28679 (2000 GY68),4.955,7.822,0.198,MBA,14.35,
 28680 Sandralitvin (2000 GA69),2.538,187.435,0.250,MBA,15.33,
 28694 (2000 GJ85),8.808,61.3118,0.228,MBA,12.85,
 28699 (2000 GN89),9.094,45.4871,0.075,MBA,14.18,
 28703 (2000 GM91),5.789,7.41139,0.252,MBA,13.89,
 28704 (2000 GU91),5.176,2.84,0.126,MBA,14.55,
 28707 Drewbecker (2000 GZ94),3.020,4.47,0.147,MBA,15.35,
 28709 (2000 GY96),10.348,49.1825,0.072,MBA,13.78,
 28735 (2000 GX125),3.507,5.19,0.361,MBA,14.32,
 28736 (2000 GE133),6.405,4.658,0.093,MBA,14.06,
 28753 (2000 HA),4.886,4.993,0.295,MBA,13.78,
 28754 (2000 HV1),15.266,7.0243,0.051,MBA,13.00,
 28761 (2000 HU12),3.750,6.3483,0.288,MBA,14.42,
 28762 (2000 HG13),6.352,5.582,0.159,MBA,13.90,
 28763 (2000 HK13),9.562,35.1458,0.070,MBA,14.03,
 28769 Elisabethadams (2000 HC26),3.017,3.759,0.370,MBA,14.67,
 28774 (2000 HO36),3.599,6.117,0.312,MBA,14.30,
 28775 (2000 HE37),12.634,20.242,0.064,MBA,13.46,
 28788 Hayes-Gehrke (2000 HW57),3.775,3.3905,0.374,MBA,14.25,
 28811 (2000 JX9),10.534,13.2,0.069,MBA,13.78,
 28814 (2000 JA17),8.571,3.57,0.060,MBA,14.25,
 28830 (2000 JY30),6.426,23.3563,0.129,MBA,14.14,
 28845 (2000 JP49),5.664,3.636,0.055,MBA,15.25,
 28854 Budisteanu (2000 JP56),2.956,13.951,0.243,MBA,14.77,
 28857 (2000 JE59),8.277,335.486,0.071,MBA,14.29,
 28872 (2000 KF6),7.273,270.217,0.074,MBA,14.20,
 28876 (2000 KL31),15.680,210.598,0.037,OMB,13.40,
 28880 (2000 KN46),7.303,6.249,0.191,MBA,13.68,
 28882 (2000 KO48),11.931,16.0059,0.071,OMB,13.62,
 28884 Youngjunchoi (2000 KA54),11.284,25.254,0.066,MBA,13.64,
 28887 Sabina (2000 KQ58),4.392,6.8429,0.332,MBA,13.90,
 28892 (2000 LZ2),4.834,10.787,0.173,MBA,14.16,
 28895 (2000 LS9),10.612,16.135,0.099,OMB,13.49,
 28904 (2000 ML),16.424,9.757,0.079,OMB,12.95,
 28908 (2000 NY6),11.393,14.10574,0.071,MBA,13.54,
 28910 (2000 NH11),4.720,5.971,0.316,MBA,13.53,
 28911 Mishacollins (2000 NB16),5.599,5.483,0.356,MBA,13.34,
 28913 (2000 OT),6.511,13.754,0.347,MBA,12.98,
 28914 (2000 OC12),7.374,102.299,0.155,MBA,13.87,
 28928 (2000 RY12),11.018,628.794,0.070,MBA,13.69,
 28932 Izidoro (2000 RY102),13.614,13.7708,0.072,MBA,13.21,
 28942 Yennydieguez (2000 UJ14),7.518,3.39,0.060,MBA,14.63,
 28947 (2000 WH12),4.574,4.235,0.336,MBA,13.79,
 28954 Feiyiou (2000 YA41),7.432,12.16569,0.067,MBA,14.64,
 28959 (2001 DL74),18.450,23.99,0.052,MBA,12.73,
 28961 (2001 FO64),2.652,5.76,0.229,MBA,15.13,
 28966 Yuyingshih (2001 HS24),12.767,141.65,0.082,OMB,13.18,
 28967 Gerhardter (2001 HK34),2.643,4.7239,0.277,MBA,15.31,
 28969 Youngminjeongahn (2001 HM57),7.822,4.28216,0.060,MBA,14.54,
 28970 (2001 JJ4),6.898,15.185,0.148,MBA,13.83,
 28976 Sevigny (2001 KN73),3.786,8.752,0.372,MBA,14.23,
 28991 (2001 MU27),10.446,9.73,0.138,MBA,12.87,
 29001 (2615 P-L),3.349,4.30516,0.189,MBA,15.08,
 29004 (2767 P-L),9.319,8.464,0.089,OMB,13.83,
 29010 (4100 P-L),3.539,13.11,0.269,MBA,14.70,
 29019 (6095 P-L),7.671,160,0.069,OMB,14.29,
 29022 (6630 P-L),1.980,97.6443,0.542,MBA,15.26,
 29030 (1034 T-1),2.197,14.4283,0.279,MBA,15.16,
 29032 (2059 T-1),4.156,5.2393,0.645,MBA,13.90,
 29033 (2085 T-1),8.608,15,0.060,MBA,14.13,
 29037 (3165 T-1),2.532,7.1308,0.174,MBA,15.68,
 29038 (4030 T-1),4.997,146.21,0.339,MBA,13.78,
 29041 (1050 T-2),8.190,7.30749,0.115,MBA,13.92,
 29069 (4310 T-3),2.956,2.88995,0.351,MBA,14.62,
 29075 (1950 DA),1.3,2.1216,0.070,APO,17.28,
 29078 (1975 SX1),6.699,8.72623,0.188,MBA,13.71,
 29081 Krymradio (1978 SC5),2.970,4.93,0.289,MBA,15.11,
 29086 (1980 PY2),5.192,286.2,0.286,MBA,14.00,
 29116 (1981 ED40),7.274,27.187,0.064,MBA,14.57,
 29122 Vasadze (1982 YR1),4.078,63.522,0.185,MBA,14.31,
 29127 Karnath (1985 FF2),10.576,7.221,0.057,MBA,14.08,
 29132 Bradpitt (1987 BP1),3.089,8.835,0.268,MBA,15.09,
 29138 (1988 BE4),6.467,542.963,0.168,MBA,13.96,
 29140 (1988 CG4),2.405,2.99,0.335,MBA,15.19,
 29142 (1988 CR7),3.047,18.494,0.275,MBA,14.89,
 29146 McHone (1988 FN),3.788,14.12,0.282,MBA,14.26,
 29147 (1988 GG),4.272,99.,0.321,MBA,13.97,
 29153 (1988 SY2),3.624,3.492,0.234,MBA,14.65,
 29158 (1989 EE3),4.885,0.92,0.204,MBA,14.62,
 29161 (1989 SF2),7.666,9.82101,0.069,MBA,14.36,
 29162 (1989 SD4),5.116,6.505,0.223,MBA,14.12,
 29165 (1989 UK1),3.365,46.1467,0.182,MBA,14.56,
 29168 (1990 KJ),4.927,2.58247,0.348,MBA,13.54,
 29170 (1990 OA3),7.235,8.089,0.256,MBA,13.37,
 29172 (1990 QL4),7.980,53.235,0.304,MBA,12.93,
 29173 (1990 QW4),2.831,2.47142,0.505,MBA,14.36,
 29182 (1990 ST6),7.611,33.361,0.133,MBA,13.99,
 29186 Lake Tekapo (1990 UD2),2.634,45.1306,0.843,MBA,14.50,
 29194 (1990 WJ4),2.720,6.02,0.499,MBA,14.50,
 29201 (1991 GO4),11.551,7.80148,0.048,MBA,13.96,
 29202 (1991 GH8),9.605,10.924,0.067,MBA,14.37,
 29206 (1991 PX10),2.727,21.4125,0.260,MBA,15.37,
 29210 Robertbrown (1991 RB12),9.077,2,0.094,MBA,13.87,
 29211 (1991 RY15),5.968,53.751,0.313,MBA,13.40,
 29216 (1991 VX5),10.415,9.56108,0.148,MBA,12.79,
 29218 (1992 AY),13.419,26.28,0.108,MBA,13.14,
 29219 (1992 BJ),6.301,12,0.062,MBA,14.98,
 29231 (1992 EG4),8.014,259.524,0.057,MBA,14.48,
 29241 (1992 GA5),4.789,315.754,0.111,MBA,15.00,
 29252 Konjikido (1993 BY2),9.417,6.835,0.079,MBA,13.97,
 29254 (1993 FR1),15.411,3.51873,0.089,OMB,12.74,
 29265 (1993 FV18),2.393,60.4414,0.213,MBA,15.42,
 29266 (1993 FA20),6.430,5.68,0.204,MBA,13.57,
 29267 (1993 FD22),7.587,13.875,0.053,MBA,14.72,
 29273 (1993 FO32),3.043,1.9,0.069,MBA,16.56,
 29292 Conniewalker (1993 KZ1),4.581,30.6,0.367,MBA,13.65,
 29296 (1993 PY5),4.861,48,0.188,MBA,14.45,
 29297 (1993 RU7),3.320,3.096,0.367,MBA,14.74,
 29308 (1993 UF1),2.282,9.81,0.852,IMB,14.79,
 29314 Eurydamas (1994 CR18),21.386,15.035,0.140,TJN,11.58,
 29317 (1994 PR9),4.133,31.4016,0.090,MBA,15.90,
 29328 Hanshintigers (1994 TU14),3.185,7.437,0.303,MBA,14.74,
 29334 (1994 XJ),2.919,113.415,0.363,MBA,14.37,
 29335 (1994 XL),3.014,6.96,0.308,MBA,14.62,
 29337 Hakurojo (1995 AE1),4.181,4.5096,0.278,MBA,14.08,
 29343 (1995 CK10),6.854,63.852,0.125,MBA,14.10,
 29344 (1995 DX),7.445,16.2544,0.067,MBA,14.60,
 29365 (1996 DN2),3.245,12.0348,0.320,MBA,14.86,
 29385 (1996 JT),2.820,5.026,0.267,MBA,15.19,
 29398 (1996 RM5),6.200,4.18,0.104,MBA,14.62,
 29405 (1996 TN18),9.228,3.522,0.076,MBA,13.89,
 29414 (1996 XF1),6.856,283.606,0.190,MBA,14.11,
 29415 (1996 XU5),7.542,16.75,0.113,MBA,14.21,
 29423 (1997 AF22),16.548,5.19,0.053,MBA,12.98,
 29435 Mordell (1997 JB8),1.899,5.828,0.309,MBA,15.83,
 29438 Zhengjia (1997 MV),1.794,144.381,0.500,MBA,15.52,
 29450 Tomohiroohno (1997 QZ2),5.256,8.97841,0.212,MBA,13.76,
 29455 (1997 SX1),7.317,64.82,0.091,MBA,14.08,
 29462 (1997 SG34),3.626,14.,0.281,MBA,14.66,
 29474 Toyoshima (1997 UT8),3.666,2.901,0.250,MBA,14.61,
 29475 (1997 UF11),9.168,8.331,0.070,MBA,13.96,
 29477 Zdiksima (1997 UE15),2.781,3.03143,0.275,MBA,15.12,
 29480 (1997 VO1),4.684,2.643,0.273,MBA,13.54,
 29487 (1997 VU8),5.553,3.05923,0.299,MBA,13.71,
 29492 (1997 WP2),16.198,9.92388,0.038,MBA,13.08,
 29497 (1997 WD15),6.325,9.913,0.279,MBA,13.27,
 29498 (1997 WK21),9.431,4.521,0.064,MBA,13.90,
 29503 (1997 WQ38),5.718,16.2656,0.105,MBA,14.45,
 29506 (1997 XM),3.977,5.308,0.256,MBA,14.55,
 29508 Bottinelli (1997 XR8),6.956,6.709,0.065,MBA,14.53,
 29510 (1997 YF2),6.698,1.58313,0.143,MBA,13.94,
 29512 (1997 YL5),5.362,4.012,0.185,MBA,14.26,
 29513 (1997 YT5),8.985,3.91504,0.166,MBA,13.20,
 29514 Karatsu (1997 YV6),10.404,5.87282,0.086,MBA,13.65,
 29515 (1997 YL7),7.799,12.231,0.201,MBA,13.19,
 29516 (1997 YO7),6.444,9.86,0.186,MBA,13.66,
 29518 (1997 YW11),4.941,3.72,0.263,MBA,13.81,
 29520 (1997 YH14),3.892,5.59,0.244,MBA,14.50,
 29521 (1997 YK14),11.922,6.20217,0.086,OMB,13.53,
 29534 (1998 BP7),7.451,5.67,0.073,MBA,14.46,
 29536 (1998 BC12),9.598,19.768,0.253,MBA,12.82,
 29540 (1998 BV24),12.079,3.397,0.076,MBA,13.27,
 29543 (1998 BV29),4.403,74.571,0.275,MBA,14.03,
 29548 (1998 BC42),8.194,4.295,0.072,MBA,14.23,
 29550 Yaribartolini (1998 BE44),4.983,14.762,0.317,MBA,13.69,
 29555 MACEK (1998 DP),22.911,33.615,0.053,MBA,12.21,
 29557 (1998 DV3),8.832,72.838,0.075,MBA,13.96,
 29564 (1998 ED6),27.139,8.434,0.036,MBA,11.90,
 29569 (1998 FA23),5.593,6.68958,0.391,MBA,13.41,
 29579 (1998 FV54),10.259,41.5498,0.080,MBA,13.54,
 29580 (1998 FK55),11.195,6.84,0.089,OMB,13.14,
 29584 (1998 FQ60),9.563,9.408,0.070,MBA,13.80,
 29588 (1998 FM71),15.815,7.573,0.054,MBA,13.16,
 29594 (1998 GK8),12.644,9.14,0.070,OMB,13.40,
 29595 (1998 HL14),20.748,6.418,0.063,MBA,12.00,
 29597 (1998 HT37),14.048,4,0.057,OMB,13.53,
 29606 (1998 QN94),2.797,2.8965,0.358,MBA,14.65,
 29620 Gurbanikaur (1998 SM140),1.915,10.148,0.365,MBA,15.95,
 29628 Fedorets (1998 TX30),3.921,5.409,0.240,MBA,14.53,
 29658 Henrylin (1998 WR17),2.987,5.046,0.286,MBA,14.98,
 29664 (1998 WY23),6.007,3.016,0.309,MBA,13.41,
 29665 (1998 WD24),20.967,225.077,0.030,MBA,12.95,
 29682 (1998 XR48),3.667,32.3074,0.477,MBA,14.29,
 29687 Mohdreza (1998 XL78),1.959,4.537,0.290,MBA,15.46,
 29690 Nistala (1998 XM94),4.142,8.755,0.179,MBA,14.69,
 29697 (1998 YR1),12.150,10.854,0.045,MBA,13.81,
 29701 Peggyhaas (1998 YT6),4.580,5.9066,0.211,MBA,14.34,
 29714 (1999 AL7),2.174,5.957,0.650,MBA,15.07,
 29716 (1999 AY7),3.233,153.912,0.138,MBA,14.90,
 29718 (1999 AH18),5.967,19.1906,0.197,MBA,13.77,
 29729 (1999 BY1),4.308,4.5279,0.421,MBA,13.91,
 29733 (1999 BA4),3.541,849.186,0.214,MBA,14.03,
 29739 (1999 BM9),2.870,6.62965,0.283,MBA,15.17,
 29740 (1999 BS9),5.629,11.65,0.293,MBA,13.44,
 29750 Chleborad (1999 CA3),5.714,41.796,0.155,MBA,13.98,
 29752 (1999 CG4),2.749,25.974,0.338,MBA,15.04,
 29755 (1999 CT5),4.301,4.17,0.263,MBA,14.10,
 29757 (1999 CH8),12.639,17.161,0.058,MBA,13.54,
 29762 Panasiewicz (1999 CK17),3.222,13.106,0.383,MBA,14.27,
 29764 Panneerselvam (1999 CC23),3.573,5.468,0.240,MBA,14.85,
 29765 Miparedes (1999 CG23),5.848,30,0.048,MBA,15.24,
 29769 (1999 CE28),23.635,15.03,0.035,MBA,12.31,
 29775 (1999 CO45),5.456,32.1986,0.163,MBA,13.91,
 29777 (1999 CK46),7.734,3.63,0.224,MBA,13.32,
 29783 Sanjanarane (1999 CU50),3.099,3.7,0.266,MBA,14.90,
 29796 (1999 CW77),4.851,6.471,0.248,MBA,14.02,
 29797 (1999 CC78),5.470,3.266,0.235,MBA,13.77,
 29801 (1999 CX84),4.070,2.775,0.353,MBA,14.10,
 29804 Idansharon (1999 CH90),6.465,3.19,0.056,MBA,15.04,
 29811 (1999 CK109),7.025,17.535,0.068,MBA,14.32,
 29820 (1999 CW149),9.499,49.4811,0.034,MBA,14.39,
 29829 Engels (1999 EK3),6.345,21.4135,0.191,MBA,13.59,
 29834 Mariacallas (1999 FE1),5.215,4.092,0.215,MBA,13.93,
 29835 (1999 FW1),3.102,6.954,0.265,MBA,14.97,
 29843 Brucesoper (1999 FJ19),8.425,10.9564,0.157,OMB,13.42,
 29847 (1999 FC24),7.455,13.845,0.050,MBA,14.68,
 29849 (1999 FJ25),5.644,13.88,0.196,MBA,14.17,
 29854 (1999 FK27),6.266,19.4156,0.196,MBA,13.71,
 29857 (1999 FS28),5.389,4.13,0.221,MBA,14.11,
 29863 (1999 FC43),6.447,19.312,0.353,MBA,13.16,
 29866 (1999 FR46),4.531,58.382,0.343,MBA,13.88,
 29868 (1999 FB56),4.773,6.75938,0.195,MBA,14.34,
 29871 (1999 GE5),5.876,85.263,0.245,MBA,13.51,
 29876 (1999 GR16),8.538,4.11773,0.168,MBA,13.25,
 29877 (1999 GL17),13.089,6.361,0.055,MBA,12.98,
 29887 (1999 GN34),4.622,3.239488,0.300,MBA,13.59,
 29889 (1999 GN36),3.958,5.381,0.311,MBA,14.23,
 29890 (1999 GH37),14.342,189.596,0.039,MBA,13.41,
 29891 (1999 GQ37),13.586,6.836,0.080,MBA,13.13,
 29892 (1999 GS37),5.407,6.10347,0.381,MBA,13.79,
 29900 (1999 HP5),5.446,6.99515,0.180,MBA,13.93,
