full_name,diameter,rot_per,albedo,class,H,GM
   136 Austria (A874 FA),36.893,11.4969,0.201,MBA,9.75,
   137 Meliboea (A874 HA),128.678,25.676,0.065,MBA,8.33,
   138 Tolosa (A874 KA),52.905,10.101,0.273,MBA,9.01,
   139 Juewa (A874 TA),151.116,20.991,0.052,MBA,8.04,
   140 Siwa (A874 TB),109.79,34.445,0.0676,MBA,8.45,
   141 Lumen (A875 AA),117.916,19.87,0.067,MBA,8.38,
   142 Polana (A875 BA),54.812,9.764,0.047,MBA,10.52,
   143 Adria (A875 DA),95.377,22.005,0.044,MBA,9.32,
   144 Vibilia (A875 LA),142.38,13.819,0.0597,MBA,8.05,
   145 Adeona (A875 LB),127.783,15.071,0.061,MBA,8.40,
   146 Lucina (A875 LC),160.310,18.557,0.036,MBA,8.50,
   147 Protogeneia (A875 NA),132.93,7.8528,0.0492,MBA,8.72,
   148 Gallia (A875 PA),97.75,20.664,0.1640,MBA,7.58,
   149 Medusa (A875 SA),23.719,26.023,0.152,MBA,10.54,
   150 Nuwa (A875 UA),119.128,8.1347,0.052,MBA,8.58,
   151 Abundantia (A875 VA),39.037,9.864,0.233,MBA,9.32,
   152 Atala (A875 VB),58.964,6.246,0.257,MBA,8.36,
   153 Hilda (A875 VC),170.63,5.9585,0.0618,OMB,7.73,
   154 Bertha (A875 VD),192.611,25.224,0.044,MBA,7.65,
   155 Scylla (A875 VE),39.605,7.9597,0.027,MBA,11.15,
   156 Xanthippe (A875 WA),143.346,22.132,0.030,MBA,8.80,
   157 Dejanira (A875 XA),19.959,15.825,0.173,MBA,11.18,
   158 Koronis (A876 AA),39.025,14.218,0.213,MBA,9.32,
   159 Aemilia (A876 BA),125.236,24.476,0.064,MBA,8.27,
   160 Una (A876 DA),81.24,11.033,0.0625,MBA,9.10,
   161 Athor (A876 HA),40.992,7.28,0.230,MBA,9.29,
   162 Laurentia (A876 HB),97.021,11.8686,0.051,MBA,9.09,
   163 Erigone (A876 HC),81.579,16.136,0.033,MBA,9.77,
   164 Eva (A876 NA),100.254,13.66,0.029,MBA,8.77,
   165 Loreley (A876 PA),180.083,7.226,0.047,MBA,7.81,
   166 Rhodope (A876 PB),52.393,4.715,0.046,MBA,9.88,
   167 Urda (A876 QA),39.935,13.07,0.223,MBA,9.37,
   168 Sibylla (A876 SA),145.366,47.009,0.056,OMB,8.27,
   169 Zelia (A876 SB),37.517,14.537,0.188,MBA,9.54,
   170 Maria (A877 AA),33.136,13.12,0.282,MBA,9.31,
   171 Ophelia (A877 AB),130.808,6.66535,0.076,MBA,8.63,
   172 Baucis (A877 CA),62.43,27.417,0.1382,MBA,8.72,
   173 Ino (A877 PA),125.821,6.15,0.096,MBA,7.91,
   174 Phaedra (A877 RA),64.849,5.744,0.169,MBA,8.39,
   175 Andromache (A877 TA),94.532,8.324,0.094,MBA,8.61,
   176 Iduna (A877 TB),106.976,11.2877,0.065,MBA,8.41,
   177 Irma (A877 VA),69.049,13.856,0.022,MBA,9.62,
   178 Belisana (A877 VB),35.81,12.323,0.2438,MBA,9.49,
   179 Klytaemnestra (A877 VC),69.946,11.173,0.198,MBA,8.26,
   180 Garumna (A878 BA),23.440,23.866,0.242,MBA,10.31,
   181 Eucharis (A878 CB),115.383,52.23,0.101,MBA,8.06,
   182 Elsa (A878 CC),39.520,80.088,0.196,MBA,9.08,
   183 Istria (A878 CD),32.927,11.77,0.227,MBA,9.47,
   184 Dejopeja (A878 DA),62.483,6.4416,0.215,MBA,8.37,
   185 Eunike (A878 EA),160.464,21.797,0.062,MBA,7.62,
   186 Celuta (A878 GA),49.99,19.842,0.1929,MBA,9.07,
   187 Lamberta (A878 GB),147.294,10.67,0.044,MBA,8.37,
   188 Menippe (A878 MA),35.752,11.98,0.242,MBA,9.31,
   189 Phthia (A878 RA),38.490,22.346,0.170,MBA,9.37,
   190 Ismene (A878 SA),159,6.521,0.066,OMB,7.88,
   191 Kolga (A878 SB),94.536,17.604,0.046,MBA,9.09,
   192 Nausikaa (A879 DA),98.776,13.625,0.327,MBA,7.21,
   193 Ambrosia (A879 DB),26.302,6.581,0.343,MBA,9.77,
   194 Prokne (A879 FA),161.667,15.679,0.057,MBA,7.83,
   195 Eurykleia (A879 HA),93.109,16.521,0.051,MBA,9.22,
   196 Philomela (A879 JA),144.626,8.334,0.342,MBA,6.72,
   197 Arete (A879 KA),31.729,6.6084,0.373,MBA,9.55,
   198 Ampella (A879 LA),54.323,10.379,0.268,MBA,8.53,
   199 Byblis (A879 NA),76.129,5.2201,0.107,MBA,8.52,
   200 Dynamene (A879 OA),128.301,37.394,0.053,MBA,8.45,
   201 Penelope (A879 PA),85.877,3.7474,0.040,MBA,8.55,
   202 Chryseis (A879 RA),86.15,23.67,0.2562,MBA,7.67,
   203 Pompeja (A879 SA),124.592,24.052,0.036,MBA,8.92,
   204 Kallisto (A879 TA),48.566,19.489,0.194,MBA,8.97,
   205 Martha (A879 TB),76.983,14.911,0.061,MBA,9.42,
   206 Hersilia (A879 TC),113,11.122,0.057,MBA,8.92,
   207 Hedda (A879 UA),57.880,30.098,0.058,MBA,10.25,
   208 Lacrimosa (A879 UB),40.056,14.085,0.206,MBA,9.26,
   209 Dido (A879 UC),179.008,5.7366,0.028,MBA,8.30,
   210 Isabella (A879 VA),86.65,6.672,0.0436,MBA,9.40,
   211 Isolda (A879 XA),141.125,18.365,0.062,MBA,7.97,
   212 Medea (A880 CA),136.12,10.283,0.0465,MBA,8.47,
   213 Lilaea (A880 DA),82.096,12.042,0.092,MBA,9.09,
   214 Aschera (A880 DB),24.957,6.835,1.000,MBA,9.31,
   215 Oenone (A880 GA),35.210,27.937,0.243,MBA,9.57,
   216 Kleopatra (A880 GB),122,5.385,0.1164,MBA,7.02,
   217 Eudora (A880 QA),65.392,25.272,0.049,MBA,9.90,
   218 Bianca (A880 RA),60.62,6.337,0.1746,MBA,8.66,
   219 Thusnelda (A880 SA),37.674,59.74,0.189,MBA,9.38,
   220 Stephania (A881 KA),31.738,18.198,0.055,MBA,11.20,
   221 Eos (A882 BA),95.469,10.443,0.166,MBA,7.71,
