KIC,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Prot,E_Prot,Sph,flag1,flag2,flag3,flag4
11081597,6062.0,101.9,101.8,4.453,0.02,0.028,1.038,0.035,0.047,5.12,0.37,21409,,1,0,
11026936,6307.0,126.5,125.2,4.303,0.034,0.037,1.161,0.061,0.069,4.1,0.39,1124,,1,0,
11027000,5183.8,97.7,91.2,4.546,0.031,0.041,0.823,0.044,0.052,15.64,1.22,43942,,1,0,
11026966,4830.6,79.4,74.3,4.608,0.017,0.025,0.742,0.026,0.035,16.41,1.22,54337,,1,0,
11026927,5315.2,98.5,92.9,4.585,0.023,0.033,0.801,0.04,0.047,26.85,2.17,6995,,1,0,
11026925,5323.9,93.1,78.9,4.335,0.039,0.033,0.865,0.049,0.035,18.34,1.47,42831,,1,0,
11027001,5137.4,97.1,91.9,4.581,0.024,0.034,0.787,0.04,0.049,18.99,1.49,35515,,1,0,
11081507,5331.3,94.6,91.7,4.577,0.022,0.033,0.82,0.034,0.039,21.36,1.79,12531,,1,0,
11081504,6122.1,113.3,109.5,4.425,0.045,0.058,1.053,0.063,0.06,18.49,2.18,791,,1,,1
11081447,6473.5,125.0,127.8,4.298,0.031,0.039,1.271,0.051,0.056,4.06,0.22,3138,,1,0,
11027239,5960.7,143.5,144.9,4.288,0.039,0.041,1.071,0.082,0.087,26.44,3.79,3292,,1,0,
11027238,5391.8,86.6,84.6,4.536,0.018,0.029,0.909,0.032,0.042,25.81,2.54,10999,,1,0,
11081873,5522.9,100.8,100.0,4.49,0.041,0.055,0.903,0.054,0.061,28.38,1.06,3019,,1,0,
11081756,5070.9,91.8,84.4,4.623,0.021,0.028,0.725,0.035,0.04,27.95,1.45,5298,,1,0,
11081642,5793.4,111.6,106.1,4.366,0.042,0.042,0.885,0.069,0.06,15.66,1.48,2161,,1,0,
11081745,5802.2,108.2,109.6,4.171,0.044,0.048,1.049,0.088,0.081,40.14,8.66,4493,,1,0,
11081720,5796.1,103.0,102.1,4.44,0.034,0.045,0.984,0.057,0.069,21.49,2.28,1974,,1,0,
11081729,6554.3,130.1,128.6,4.271,0.023,0.028,1.338,0.051,0.051,2.86,0.29,2712,,1,0,
11135108,5365.0,103.1,89.2,4.372,0.054,0.046,0.869,0.061,0.046,16.62,1.31,16299,,1,0,
11135275,5592.0,91.3,86.5,4.524,0.017,0.026,0.932,0.031,0.042,24.68,2.85,5849,,1,0,
11135430,6094.2,102.5,99.3,4.425,0.019,0.029,1.086,0.037,0.051,5.02,0.37,36138,1,1,0,
11135303,5641.3,112.8,105.4,4.292,0.043,0.041,0.873,0.064,0.056,25.78,4.32,1829,,1,0,
11135231,5444.7,105.5,102.1,4.439,0.05,0.051,0.89,0.066,0.062,28.17,3.74,2888,,1,0,
11081607,6589.5,135.3,130.5,4.096,0.028,0.03,1.552,0.06,0.065,2.7,0.21,3010,1,1,0,
11135022,5405.5,90.5,91.1,4.53,0.02,0.031,0.913,0.035,0.044,11.43,0.87,36537,,1,0,
