Name,PSRJ,P0,P1,F0,Binary,Type,Age,Bsurf,Edot,Dist
"J1826-1256","J1826-1256",0.11022370246,1.2145061E-13,9.0724588059," ","NRAD",14400.0,3.70000003E12,3.6000001430511466E36,
"J1819-1318","J1819-1318",1.51569599263,6.0E-16,0.65976291081," "," ",4.02E7,9.6300001E11,6.800000278417427E30,1.52
"J1822-1252","J1822-1252",2.0710402725,8.476E-14,0.48284913301," "," ",387000.0,1.34000002E13,3.799999831244348E32,10.61
"J1831-1223","J1831-1223",2.8579410013,5.5E-15,0.34990225465," "," ",8270000.0,3.99999998E12,9.299999987888438E30,5.51
"J1824-1159","J1824-1159",0.362492078224,5.3793E-15,2.75868097559," "," ",1070000.0,1.40999996E12,4.499999922700225E33,6.09
"J1830-1135","J1830-1135",6.2215526663,4.775E-14,0.16073158159," "," ",2060000.0,1.73999999E13,7.799999934832156E30,4.36
"B1823-11","J1826-1131",2.09313630972,4.91034E-15,0.477751972175," "," ",6750000.0,3.23999996E12,2.1000000742787957E31,4.83
"J1828-1101","J1828-1101",0.072051632709,1.480952E-14,13.8789360129," ","HE[lsg+15]",77100.0,1.05000003E12,1.5999999642372128E36,7.26
"J1828-1057","J1828-1057",0.24632758741,2.07007E-14,4.05963461306," "," ",189000.0,2.29000007E12,5.499999970197676E34,4.27
"J1819-1131","J1819-1131",1.38813712856,7.61E-16,0.72038992361," "," ",2.89E7,1.04000002E12,1.0999999631167153E31,12.25
"J1818-1116","J1818-1116",0.5447995247,3.824E-15,1.83553757789," "," ",2260000.0,1.46E12,9.300000237999481E32,10.29
"B1821-11","J1824-1118",0.435759033311,3.55447E-15,2.29484628787," "," ",1940000.0,1.25999999E12,1.6999999934341754E33,8.03
"J1823-1126","J1823-1126",1.8465342015,3.652E-14,0.54155509235," "," ",801000.0,8.3099999E12,2.3000000510364764E32,8.72
"B1820-11","J1823-1115",0.279828696565,1.37862E-15,3.57361490181,"BT"," ",3220000.0,6.2899998E11,2.5000001187436275E33,6.28
"J1825-1108","J1825-1108",1.9258717727,1.9E-15,0.5192453694," "," ",1.61E7,1.93999995E12,1.0999999631167153E31,2.71
"J1819-1114","J1819-1114",0.29416251457,5.66E-16,3.3994814107," "," ",8230000.0,4.13000008E11,8.800000068731603E32,5.82
"J1833-1055","J1833-1055",0.63364029817,5.27E-16,1.57818245286," "," ",1.91E7,5.8500003E11,8.19999968371121E31,8.44
"J1836-11","J1836-11",0.4961931,,2.015344," "," ",,,,6.01
"J1835-1106","J1835-1106",0.1659069781495,2.0610608E-14,6.027474016788," "," ",128000.0,1.87000003E12,1.7999999225139612E35,3.08
"J1838-1046","J1838-1046",1.21835359632,3.08E-15,0.82077978267," "," ",6270000.0,1.95999996E12,6.700000085402278E31,4.35
"J1835-1020","J1835-1020",0.302448108644,5.9187E-15,3.30635230117," "," ",810000.0,1.35000005E12,8.399999933317301E33,2.57
"B1828-11","J1830-1059",0.40504332163,6.002513E-14,2.4688717147," "," ",107000.0,4.9900002E12,3.59999993816018E34,3.58
"J1830-10","J1830-10",0.24526,,4.07731," "," ",,,,4.01
"J1833-1034","J1833-1034",0.06188365001063,2.02014996E-13,16.15935711336," ","HE",4850.0,3.57999994E12,3.400000095367431E37,4.1
"B1829-10","J1832-1021",0.330354089443,4.20203E-15,3.02705500539," "," ",1250000.0,1.18999994E12,4.600000102072953E33,6.43
"B1834-10","J1836-1008",0.56271073614,1.179902E-14,1.77711199695," "," ",756000.0,2.61000004E12,2.6000000070780506E33,5.39
"J1842-0905","J1842-0905",0.344642757467,1.04931E-14,2.90155524332," "," ",520000.0,1.92000007E12,1.000000047497451E34,7.41
"J1835-0946","J1835-0946",0.37953610601,4.3E-17,2.6347954362," "," ",1.39E8,1.30000003E11,3.0999999580672002E31,4.04
"J1835-0944","J1835-0944",0.145346822521,4.39E-15,6.8800953654," "," ",525000.0,8.0800003E11,5.599999800324438E34,4.67
"J1835-0928","J1835-0928",0.62173399423,9.69E-16,1.60840489547," "," ",1.02E7,7.8499997E11,1.5999999959603878E32,6.36
"J1835-0924","J1835-0924",0.8591920352,2.139E-14,1.1638841598," "," ",636000.0,4.33999997E12,1.3000000035390253E33,6.62
"J1835-09242","J1835-09242",0.235248924972,1.184E-17,4.25081644951," "," ",3.15E8,5.3399998E10,3.5999998999614027E31,6.85
"J1839-0905","J1839-0905",0.418968843399,2.6033E-14,2.38681232687," "," ",255000.0,3.34000003E12,1.3999999500811096E34,6.14
"J1829-1011","J1829-1011",0.82916602078,-5.0E-18,1.2060310902," "," ",,,,7.37
"J1828-1007","J1828-1007",0.1531969792414,6.1339E-16,6.52754385205," "," ",3960000.0,3.09999993E11,6.699999794363974E33,4.72
"B1824-10","J1827-0958",0.2457571181423,1.002318E-15,4.0690581317," "," ",3880000.0,5.01999993E11,2.699999895412474E33,6.15
"J1831-0952","J1831-0952",0.0672668461152,8.32385E-15,14.8661645038," ","HE[lsg+15]",128000.0,7.5699998E11,1.0999999940395353E36,4.33
"J1827-0934","J1827-0934",0.512547817784,7.227E-15,1.95103747456," "," ",1120000.0,1.94999996E12,2.0999999833293252E33,4.47
"B1822-09","J1825-0935",0.769005855083,5.25018E-14,1.30038021608," "," ",232000.0,6.4300002E12,4.600000102072953E33,0.3
"J1834-09","J1834-09",0.5123273,,1.951877," "," ",,,,6.88
"J1834-0845","J1834-0845",2.4823018,7.96E-12,0.402851901," ","AXP,NRAD",4940.0,1.42000007E14,2.0999999251216642E34,
"J1833-0831","J1833-0831",7.5654084,3.4E-12,0.132180571," ","AXP,NRAD",34900.0,1.62999998E14,3.0999999580672003E32,
"B1830-08","J1833-0827",0.0852842512617,9.170719E-15,11.72549427597," "," ",147000.0,8.9499999E11,5.799999833106993E35,4.5
"J1837-08","J1837-08",1.099,,0.909918," "," ",,,,7.04
"J1832-0836","J1832-0836",0.00271911206232,8.62E-21,367.76711554392," "," ",5.0E9,1.55E8,1.700000022538006E34,1.4
"B1829-08","J1832-0827",0.64729271838,6.38793E-14,1.5448961059," "," ",161000.0,6.5100002E12,9.299999801442024E33,5.2
"J1831-0823","J1831-0823",0.612132963973,3.091E-16,1.63363200294," "," ",3.14E7,4.39999988E11,5.299999884300631E31,4.41
"J1834-0812","J1834-0812",0.4911415563,9.96E-15,2.0360728738," "," ",781000.0,2.24000003E12,3.300000098533928E33,10.34
"J1834-0742","J1834-0742",0.788353566535,3.24702E-14,1.26846638672," "," ",385000.0,5.12E12,2.6000000070780506E33,6.91
"J1834-0731","J1834-0731",0.51297990872,5.82E-14,1.94939408544," "," ",140000.0,5.53E12,1.700000022538006E34,4.76
"J1811-1049","J1811-1049",2.623858562,8.0E-16,0.38111810388," "," ",5.2E7,1.47000001E12,1.7000000696043568E30,8.5
"J1808-1020","J1808-1020",0.596993202504,7.725E-16,1.675060948441," "," ",1.22E7,6.8699999E11,1.400000019202707E32,8.5
"J1819-1008","J1819-1008",0.301489849278,1.3209E-15,3.31686125551," "," ",3620000.0,6.3899999E11,1.9000000611413266E33,10.75
"J1819-0925","J1819-0925",0.852047483505,3.1302E-15,1.173643510907," "," ",4310000.0,1.65E12,1.9999999494757498E32,11.1
"B1804-08","J1807-0847",0.16372737166367,2.87993E-17,6.107714243738," "," ",9.01E7,6.9500002E10,2.5999999706982627E32,1.5
"J1808-0813","J1808-0813",0.876044286677,1.2402E-15,1.141494802498," "," ",1.12E7,1.05000003E12,7.300000106624791E31,5.18
"J1809-0743","J1809-0743",0.313885674748,1.521E-16,3.18587333048," "," ",3.27E7,2.21000008E11,1.899999915622174E32,17.82
"J1822-0907","J1822-0907",0.97470037336,3.55E-16,1.02595631163," "," ",4.35E7,5.9599998E11,1.5000000530562825E31,12.31
"J1822-0848","J1822-0848",2.50451781786,4.03E-16,0.399278453069,"BT"," ",9.84E7,1.02000001E12,1.0000000116860971E30,4.19
"J1827-0750","J1827-0750",0.270502039371,1.5446E-15,3.6968297996," "," ",2770000.0,6.54E11,3.1000000308267766E33,7.39
"J1829-0734","J1829-0734",0.318400873408,4.789E-15,3.1406949023," "," ",1050000.0,1.24999998E12,5.900000105611978E33,5.45
"J1828-0611","J1828-0611",0.269414732063,1.4595E-15,3.71174951103," "," ",2920000.0,6.35E11,2.8999999631196254E33,8.76
"J1816-0755","J1816-0755",0.2176426911444,6.48032E-15,4.59468679946," "," ",532000.0,1.19999994E12,2.499999944120645E34,3.21
"J1817-0743","J1817-0743",0.438095346909,-2.3E-18,2.2826081287," "," ",,,,0.77
"J1739-1313","J1739-1313",1.215697613611,8.17E-17,0.822572972756," "," ",2.36E8,3.18999986E11,1.8000000068241202E30,2.02
"J1744-1134","J1744-1134",0.00407454594144,8.93471E-21,245.426119713056," ","HE[aaa+09f]",7.23E9,1.93E8,5.200000014156101E33,0.4
"J1747-1030","J1747-1030",1.5787928888,4.3E-16,0.63339530289," "," ",5.82E7,8.3399999E11,4.3000000005122265E30,7.27
"J1755-0903","J1755-0903",0.190709642575,7.809E-16,5.24357335318," "," ",3870000.0,3.90999998E11,4.4000000343658016E33,2.16
"J1745-0952","J1745-0952",0.01937630344113,9.246E-20,51.609431233273,"ELL1"," ",3.32E9,1.35E9,4.999999873689374E32,2.38
"J1725-0732","J1725-0732",0.239919487227,4.296E-16,4.16806492694," "," ",8850000.0,3.25000004E11,1.1999999696854499E33,3.43
"B1738-08","J1741-0840",2.043082458401,2.27471E-15,0.489456505237," "," ",1.42E7,2.17999999E12,1.0999999631167153E31,3.5
"J1737-0811","J1737-0811",0.00417501731286,7.93E-21,239.51996484444,"BT"," ",8.34E9,1.84E8,4.299999854993074E33,2.38
"B1732-07","J1735-0724",0.4193349661853,1.214735E-15,2.384728392905," "," ",5470000.0,7.2200002E11,6.500000017695127E32,4.32
"J1801-0857D","J1801-0857D",0.00422653200355,6.9E-21,236.60059811703," "," ",9.71E9,1.73E8,3.600000054575502E33,7.2
"J1801-0857C","J1801-0857C",0.00373869966067,-6.5E-20,267.4726751977," "," ",,,,7.2
"J1801-0857A","J1801-0857A",0.00717561460667,-5.131E-19,139.360884720645," "," ",,,,7.2
"J1801-0857B","J1801-0857B",0.02896158773099,2.191E-18,34.52849371687,"BT"," ",2.09E8,8.0600003E9,3.600000054575502E33,7.2
"B1802-07","J1804-0735",0.0231008552843,4.671E-19,43.28844052279,"BT"," ",7.84E8,3.32E9,1.5000000712461764E33,7.8
"J1805-0619","J1805-0619",0.454650713078,9.69E-16,2.19949066665," "," ",7430000.0,6.7199998E11,4.099999932805075E32,6.69
"J1802-05","J1802-05",1.681,,0.594884," "," ",,,,6.82
"J1814-0618","J1814-0618",1.37786849563,2.92E-16,0.72575866505," "," ",7.47E7,6.4200003E11,4.400000079840537E30,5.63
"J1814-0521","J1814-0521",1.01421948495,8.84E-16,0.98597987402," "," ",1.82E7,9.5800001E11,3.299999889350146E31,4.37
"J1820-0509","J1820-0509",0.337320795791,9.323E-16,2.964537059313," "," ",5730000.0,5.6699997E11,9.600000339560208E32,2.81
