Galaksi,Sinif,N,A_rms,B_rms,kazanc_yuzde,A_dis_sapma_yuzde,B_dis_sapma_yuzde,A_carpan,B_carpan
D631-7,Im,16,7.46,9.14,+22.5,-16.7,-16.2,2.4195,2.3401
DDO064,Im,14,8.55,4.17,-51.2,-17.4,-9.8,3.0502,1.7742
DDO154,Im,12,6.98,4.51,-35.4,-13.4,-12.0,2.0013,1.8489
DDO161,Im,31,4.02,8.07,+100.8,+7.3,+8.6,0.6862,0.6442
DDO168,Im,10,5.78,5.97,+3.3,-13.5,-10.3,2.2129,1.8018
DDO170,Im,8,7.89,3.22,-59.2,+4.7,+6.3,0.7872,0.7287
ESO444-G084,Im,7,18.18,16.68,-8.3,-34.9,-35.2,7.5869,7.8062
F565-V2,Im,7,22.59,16.35,-27.6,-29.0,-24.8,5.4252,3.9860
KK98-251,Im,15,2.63,5.73,+118.0,+10.0,+18.4,0.5635,0.3724
NGC3741,Im,21,12.33,8.44,-31.5,-29.9,-24.0,5.1148,3.4527
NGC4068,Im,6,2.28,6.17,+171.1,+6.4,+13.4,0.6601,0.4441
UGC00731,Im,12,23.90,14.98,-37.3,-12.4,-5.9,2.0227,1.3711
UGC04483,Im,8,1.89,1.85,-2.0,+2.6,+8.2,0.8622,0.6392
UGC05005,Im,11,12.15,5.11,-57.9,-11.5,-3.6,1.8811,1.2041
UGC05414,Im,6,4.71,3.09,-34.3,-6.0,-2.0,1.4607,1.1327
UGC05764,Im,10,18.02,13.69,-24.0,-23.2,-20.6,3.8771,3.2249
UGC05829,Im,11,12.53,5.11,-59.2,-6.4,+1.5,1.4695,0.9208
UGC05918,Im,8,10.97,5.65,-48.5,-15.1,-8.5,2.3131,1.5604
UGC06923,Im,6,7.88,5.46,-30.8,-9.9,-7.4,1.9968,1.6422
UGC07559,Im,7,2.76,4.43,+60.4,+7.3,+13.7,0.6592,0.4773
UGC07577,Im,9,6.74,8.87,+31.6,+59.2,+68.1,0.0333,0.0251
UGC07690,Im,7,9.95,6.89,-30.7,-4.0,-2.2,1.2881,1.1475
UGC07866,Im,7,3.70,2.47,-33.4,+6.2,+11.0,0.7049,0.5507
UGC08837,Im,8,2.76,7.22,+161.0,+6.2,+13.8,0.6829,0.4516
