Table 2 
Fitted Model Parameters


Galaxy	angl0x _0angr0	e	e _env	D (Mpc)	i (deg)	Upsi_gas	Upsi_disk	Upsi_bulge	
NGC5907	-10.578	${0.095}_{-0.014}^{+0.015}$	${0.038}_{-0.004}^{+0.006}$	${16.09}_{-0.76}^{+0.80}$	${87.51}_{-1.87}^{+1.54}$	${1.31}_{-0.11}^{+0.12}$	${0.65}_{-0.04}^{+0.04}$	cdots	
NGC5985	-10.293	${0.191}_{-0.035}^{+0.039}$	${0.029}_{-0.005}^{+0.001}$	${72.68}_{-8.02}^{+8.97}$	${62.12}_{-1.89}^{+1.90}$	${1.34}_{-0.11}^{+0.13}$	${0.43}_{-0.06}^{+0.07}$	${1.85}_{-0.23}^{+0.26}$	
NGC6015	-10.153	$-{0.088}_{-0.023}^{+0.022}$	${0.036}_{-0.004}^{+0.003}$	${8.07}_{-0.78}^{+0.86}$	${60.87}_{-1.94}^{+1.95}$	${1.37}_{-0.12}^{+0.13}$	${1.68}_{-0.18}^{+0.21}$	cdots	
NGC6195	-9.935	$-{0.010}_{-0.035}^{+0.036}$	${0.056}_{-0.010}^{+0.008}$	${110.28}_{-8.65}^{+9.45}$	${59.81}_{-4.20}^{+4.44}$	${1.46}_{-0.13}^{+0.14}$	${0.29}_{-0.04}^{+0.05}$	${0.80}_{-0.08}^{+0.09}$	
NGC6503	-11.156	${0.008}_{-0.006}^{+0.006}$	${0.036}_{-0.003}^{+0.004}$	${6.80}_{-0.28}^{+0.29}$	${75.79}_{-1.85}^{+1.85}$	${1.37}_{-0.12}^{+0.13}$	${0.41}_{-0.03}^{+0.03}$	cdots	
NGC6674	-10.613	$-{0.015}_{-0.022}^{+0.019}$	${0.011}_{-0.002}^{+0.003}$	${37.40}_{-5.27}^{+6.20}$	${52.29}_{-5.19}^{+5.50}$	${1.37}_{-0.12}^{+0.13}$	${1.08}_{-0.28}^{+0.33}$	${1.40}_{-0.41}^{+0.59}$	
NGC6789	-10.543	$-{0.231}_{-0.107}^{+0.106}$	${0.033}_{-0.002}^{+0.005}$	${3.52}_{-0.17}^{+0.18}$	${46.96}_{-6.42}^{+6.61}$	${1.35}_{-0.12}^{+0.13}$	${0.51}_{-0.10}^{+0.13}$	cdots	
NGC6946	-10.232	${0.047}_{-0.027}^{+0.026}$	${0.033}_{-0.003}^{+0.004}$	${4.26}_{-0.49}^{+0.55}$	${41.94}_{-1.81}^{+1.82}$	${1.40}_{-0.12}^{+0.13}$	${0.48}_{-0.06}^{+0.07}$	${0.56}_{-0.06}^{+0.07}$	
NGC7331	-10.246	$-{0.075}_{-0.018}^{+0.017}$	${0.024}_{-0.001}^{+0.003}$	${12.28}_{-0.83}^{+0.89}$	${74.95}_{-1.98}^{+1.98}$	${1.34}_{-0.11}^{+0.12}$	${0.41}_{-0.04}^{+0.04}$	${0.63}_{-0.12}^{+0.14}$	
NGC7793	-10.476	${0.265}_{-0.070}^{+0.087}$	${0.029}_{-0.002}^{+0.008}$	${3.59}_{-0.17}^{+0.18}$	${69.24}_{-5.73}^{+5.98}$	${1.45}_{-0.13}^{+0.14}$	${0.33}_{-0.03}^{+0.04}$	cdots	
